322.66,POSITIVE,Good day.,2025-03-17T21:57:43.394068
25.25,NEGATIVE,How are you,2025-03-17T21:57:43.526917
25.01,POSITIVE,Thank you,2025-03-17T21:57:43.649934
48.24,POSITIVE,Yes please,2025-03-17T21:57:43.789418
26.16,NEGATIVE,No thanks,2025-03-17T21:57:43.915029
26.39,NEGATIVE,Lets go,2025-03-17T21:57:44.076461
33.92,POSITIVE,See you soon,2025-03-17T21:57:44.251160
26.35,POSITIVE,Have a nice day,2025-03-17T21:57:44.463734
25.83,POSITIVE,Okay sounds good,2025-03-17T21:57:44.585126
27.52,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2025-03-17T21:57:44.701818
26.63,POSITIVE,I am very happy with the service provided it exceeded my expectations,2025-03-17T21:57:44.829026
27.24,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2025-03-17T21:57:44.957640
26.14,POSITIVE,This product is amazing I would highly recommend it to everyone,2025-03-17T21:57:45.073429
26.25,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2025-03-17T21:57:45.201894
24.93,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2025-03-17T21:57:45.323719
27.16,POSITIVE,The quality is excellent and the price is very reasonable great value,2025-03-17T21:57:45.457286
28.77,POSITIVE,I had a fantastic time and will definitely be returning in the future,2025-03-17T21:57:45.586126
31.05,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2025-03-17T21:57:45.760953
33.15,POSITIVE,I could not be happier with the outcome truly exceptional work,2025-03-17T21:57:45.891569
35.67,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2025-03-17T21:57:46.020381
28.15,NEGATIVE,I am very disappointed with the service it was far below my expectations,2025-03-17T21:57:46.183669
33.96,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2025-03-17T21:57:46.315615
27.18,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2025-03-17T21:57:46.475004
24.69,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2025-03-17T21:57:46.647447
28.21,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2025-03-17T21:57:46.784999
26.95,NEGATIVE,The quality is terrible and the price is outrageous absolutely no value for money,2025-03-17T21:57:46.904354
35.71,NEGATIVE,I had a terrible time and would strongly advise everyone to avoid this place in the future,2025-03-17T21:57:47.043104
31.83,NEGATIVE,The atmosphere was unpleasant and the whole experience was incredibly disappointing,2025-03-17T21:57:47.238617
30.17,NEGATIVE,I could not be more unhappy with the result completely unacceptable and unprofessional work,2025-03-17T21:57:47.359921
29.26,NEGATIVE,While the plot was confusing the acting was superb but the ending made little sense What did you think,2025-03-17T21:57:47.485151
32.52,NEGATIVE,Although it started promisingly the second half of the book really let me down which is a shame,2025-03-17T21:57:47.677002
25.66,POSITIVE,Despite some initial flaws the product ultimately delivered on its promises surprisingly,2025-03-17T21:57:47.862192
31.41,POSITIVE,Even though it rained all day we still managed to have a good time can you believe it,2025-03-17T21:57:48.034464
29.97,POSITIVE,Considering the price the quality is acceptable but is it really worth the money in the long run,2025-03-17T21:57:48.152941
30.79,NEGATIVE,While I appreciate the effort the final result is simply not up to par unfortunately,2025-03-17T21:57:48.341846
27.41,NEGATIVE,Although I had high hopes the experience was ultimately underwhelming and forgettable sadly,2025-03-17T21:57:48.547987
